,0
xtb_vEA_eV,0.22545009171418404
xtb_gap_eV,0.12898418454634858
xtb_lumo_eV,0.11945857041722663
rdkit_MinPartialCharge,0.06755370761876624
rdkit_MaxPartialCharge,0.051726862273874505
rdkit_qed,0.046132926506139184
xtb_dipole_D,0.04044319971745812
rdkit_TPSA,0.036621953493162704
xtb_energy_neutral_Eh,0.03310182979579284
rdkit_MinAbsPartialCharge,0.03199324679389987
rdkit_MolLogP,0.027021369933082028
rdkit_MaxAbsPartialCharge,0.02639226472596006
rdkit_NumRotatableBonds,0.02327238453850028
rdkit_BalabanJ,0.01898801487018809
rdkit_BertzCT,0.014333555140319924
rdkit_NumHeteroatoms,0.012274703203247002
xtb_homo_eV,0.011482199813993043
xtb_vIP_eV,0.011142496370396902
rdkit_NOCount,0.010766559136847624
rdkit_LabuteASA,0.00867431563640095
rdkit_NHOHCount,0.008567843015464274
rdkit_MolMR,0.007091660355525446
rdkit_NumHAcceptors,0.006765613075971384
rdkit_NumHDonors,0.005070462353174184
rdkit_ExactMolWt,0.004852662668220482
rdkit_NumValenceElectrons,0.004361810194502225
rdkit_NumAromaticRings,0.004197635179173941
rdkit_MolWt,0.004190809089743156
rdkit_HeavyAtomCount,0.003791983243531077
rdkit_FractionCSP3,0.0033991528748082258
rdkit_RingCount,0.0009600859552763718
rdkit_NumAliphaticRings,0.0009358457488206506
rdkit_NumSaturatedRings,0.0
